"unique_ID","English","French","Spanish"
"DC_K_A4","In general, compacted and tilled soils release naturally stored nutrients, often in gaseous forms such as nitrous oxide (N₂O) and carbon dioxide (CO₂)","En général, les sols tassés et labourés libèrent les nutriments naturellement stockés dans le sol, notamment sous forme gazeuse comme le protoxyde d'azote (N₂O) et le dioxyde de carbone (CO₂).","En general, los suelos compactados y labrados liberan los nutrientes almacenados de forma natural en el suelo, especialmente en forma de gases como el óxido nitroso (N₂O) y el dióxido de carbono (CO₂)."
"DC_K_A5","I am familiar with all of these concepts.","Je suis familier avec tous ces concepts.","Estoy familiarizado con todos estos conceptos."
"DC_K_Q","Select all NEW concepts (Select all that apply)","Sélectionnez tous les concepts qui sont NOUVEAUX pour vous (Sélectionnez tout ce qui s’applique)","Seleccione todos los conceptos NUEVOS (Marque todas las opciones que correspondan)"
"DC_opinion_A1","I do not see the value or benefits of attempting to alter the percentage of carbon in my soil.","Je ne vois pas la valeur ni les avantages de tenter de modifier le pourcentage de carbone dans mon sol.","No veo el valor ni los beneficios de intentar modificar el porcentaje de carbono en mi suelo."
"DC_opinion_A2","I think implementing practices to increase soil carbon is difficult or too costly (in time or money).","Je pense que mettre en œuvre des pratiques pour augmenter le carbone du sol est difficile ou trop coûteux (temps/finances).","Creo que aplicar prácticas para aumentar el carbono del suelo es difícil o demasiado costoso (en tiempo o dinero)."
"DC_opinion_A3","I feel confident in implementing practices aimed at increasing soil carbon in order to improve production.","Je me sens confiant pour mettre en œuvre des pratiques visant à augmenter le carbone du sol afin d'améliorer la production.","Me siento seguro de implementar prácticas destinadas a aumentar el carbono del suelo con el fin de mejorar la producción."
"DC_opinion_A4","In my opinion, the amount of carbon in the soil is an important indicator for assessing the evolution of our agricultural practices.","Selon moi, la quantité de carbone dans le sol est un indicateur important pour évaluer l'évolution de nos pratiques agricoles.","En mi opinión, la cantidad de carbono en el suelo es un indicador importante para evaluar la evolución de nuestras prácticas agrícolas."
"DC_opinion_Q","Which statement best describes your opinion? (Please select only one option)","Quelle affirmation décrit le mieux votre opinion ? (Choisissez une seule option)","¿Cuál afirmación describe mejor su opinión? (Seleccione solo una opción)"
"defense_approach_A1","I am not concerned by national security and defence issues.","Je ne suis pas concerné par les enjeux de sécurité et de défense nationale.","No me preocupan los asuntos de seguridad y defensa nacional."
"defense_approach_A2","I am gradually integrating security considerations by taking into account environmental threats that may disrupt agricultural activity, such as natural disasters, drought, or tensions over access to water.","J’intègre progressivement des considérations de sécurité en tenant compte des menaces environnementales qui peuvent perturber l’activité agricole, comme les catastrophes naturelles, la sécheresse ou les tensions autour de l’accès à l’eau.","Estoy incorporando progresivamente consideraciones de seguridad al tener en cuenta las amenazas ambientales que pueden afectar la actividad agrícola, como los desastres naturales, la sequía o los conflictos relacionados con el acceso al agua."
"defense_approach_A3","As a farmer, I contribute to food sovereignty by developing short supply chains and adjusting my practices in response to climate and economic uncertainties. I work with other producers, processors, and local stakeholders to strengthen the resilience of my region, while also considering environmental regulations that may complicate farming activities.","En tant qu’agriculteur, je contribue à la souveraineté alimentaire en développant les circuits courts et en ajustant mes pratiques face aux aléas climatiques et économiques. J’œuvre avec d’autres producteurs, des transformateurs et des acteurs locaux pour renforcer la résilience de mon territoire, tout en tenant compte, dans une certaine mesure, des normes environnementales susceptibles de compliquer l’activité.","Como agricultor, contribuyo a la soberanía alimentaria desarrollando circuitos cortos y adaptando mis prácticas frente a las incertidumbres climáticas y económicas. Trabajo con otros productores, transformadores y actores locales para reforzar la resiliencia de mi territorio, teniendo en cuenta —en cierta medida— las normas medioambientales que pueden dificultar la actividad agrícola."
"defense_approach_A4","I am fully committed to national security through my role as a farmer: I produce essential food locally, regenerate soils, conserve natural resources, reduce dependence on external inputs, and diversify my crops to build resilience. I collaborate with all actors in the food chain and share my knowledge to build autonomous, sustainable agriculture prepared for future crises.","Je m’engage pleinement dans une démarche de sécurité nationale à travers mon métier d’agriculteur : je produis localement des aliments essentiels, je régénère les sols, j’économise les ressources naturelles, je réduis ma dépendance aux intrants extérieurs et je diversifie mes cultures pour gagner en résilience. Je collabore avec tous les acteurs de la filière alimentaire et partage mes connaissances afin de bâtir une agriculture autonome, durable et préparée aux futures crises.","Estoy plenamente comprometido con la seguridad nacional a través de mi labor como agricultor: produzco alimentos esenciales a nivel local, regenero los suelos, ahorro recursos naturales, reduzco mi dependencia de insumos externos y diversifico mis cultivos para ganar resiliencia. Colaboro con todos los actores de la cadena alimentaria y comparto mis conocimientos para construir una agricultura autónoma, sostenible y preparada para futuras crisis."
"defense_approach_Q","Which statement best describes your practice or approach? (Select only one option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","¿Cuál enunciado describe mejor su práctica o enfoque? (Seleccione solo una opción)"
"defense_header","SECTION: SECURITY AND NATIONAL DEFENCE","SECTION SÉCURITÉ ET DÉFENSE NATIONALE","SECCIÓN: SEGURIDAD Y DEFENSA NACIONAL"
"defense_newconcepts_A1","National security is primarily focused on protecting the country’s territory and sovereignty against external military threats. In the event of a collapse of civil institutions, it could take charge of crisis management.","La sécurité nationale est d’abord axée sur la protection du territoire et de la souveraineté du pays contre les menaces externes militaires et en cas d’effondrement des institutions civiles, elle pourrait prendre en main la gestion d’une crise.","La seguridad nacional se centra principalmente en proteger el territorio y la soberanía del país frente a amenazas militares externas. En caso de colapso de las instituciones civiles, podría asumir la gestión de la crisis."
"defense_newconcepts_A2","Food security is not a core mission of national security, although it may be associated with it in specific contexts.","La sécurité alimentaire n'est pas une mission de la sécurité nationale, même si elle pourrait y être associée dans des contextes spécifiques.","La seguridad alimentaria no es una misión principal de la seguridad nacional, aunque podría estar relacionada con ella en contextos específicos."
"defense_newconcepts_A3","National security is not responsible for establishing strategic food reserves for the civilian population.","La sécurité nationale n’a pas pour mission de constituer des stocks stratégiques alimentaire pour les populations civiles.","La seguridad nacional no tiene como misión constituir reservas alimentarias estratégicas para la población civil."
"defense_newconcepts_A4","There is no integrated approach among the various security actors to anticipate and mitigate the impacts of food shortages on national stability","Il n’y a pas d’approche intégrée entre les différents acteurs de la sécurité pour anticiper et limiter les impacts des pénuries alimentaires sur la stabilité nationale.","No existe un enfoque integrado entre los distintos actores de la seguridad para anticipar y limitar los impactos de las crisis alimentarias sobre la estabilidad nacional."
"defense_newconcepts_A5","I am familiar with all of these concepts.","Je suis familier avec tous ces concepts.","Estoy familiarizado con todos estos conceptos."
"defense_newconcepts_Q","Select all NEW concepts (Select all that apply)","Sélectionnez tous les concepts qui sont NOUVEAUX pour vous (Sélectionnez tout ce qui s’applique)","Seleccione todos los conceptos NUEVOS (Marque todas las opciones que correspondan)"
"defense_opinion_A1","I believe that national defense is primarily a military matter, and that in my sector, we are less directly concerned by these issues","Je pense que la défense nationale est principalement un sujet militaire et que, dans mon secteur, nous sommes moins concernés par ces enjeux.","Creo que la defensa nacional es principalmente un asunto militar y que, en mi sector, estamos menos directamente afectados por estos temas"
"defense_opinion_A2","I believe that national defense should include the protection of natural and agricultural resources, as conflicts or geopolitical instabilities can directly impact food security","Je crois que la défense nationale doit inclure une protection des ressources naturelles et agricoles, car des conflits ou des instabilités géopolitiques peuvent affecter directement la sécurité alimentaire.","Creo que la defensa nacional debe incluir la protección de los recursos naturales y agrícolas, ya que los conflictos o las inestabilidades geopolíticas pueden afectar directamente la seguridad alimentaria."
"defense_opinion_A3","I believe national defence must also ensure internal social stability and protect critical infrastructure. Supply chains, in fact, should be considered part of that.","Je considère que la défense nationale doit aussi garantir la stabilité sociale intérieure et protéger les infrastructures critiques. D'ailleurs les chaînes d'approvisionnement devraient y être comprises.","Considero que la defensa nacional también debe garantizar la estabilidad social interna y proteger las infraestructuras críticas. De hecho, las cadenas de suministro deberían formar parte de ello."
"defense_opinion_A4","To me, national security is not limited to the military; it also includes the resilience of our agricultural and food systems. Protecting our land, preserving soil quality, and ensuring the continuity of local production are essential tools to prevent economic and social destabilisation. Today, my sector is still not recognised as critical infrastructure.","Pour moi, la sécurité nationale ne se limite pas au militaire ; elle englobe aussi la résilience de notre système agricole et alimentaire. Protéger nos terres, préserver la qualité des sols et garantir la continuité de nos productions locales sont autant de leviers indispensables pour éviter toute déstabilisation économique et sociale. Aujourd’hui, mon secteur n'est pas encore reconnu comme une infrastructure critique.","Para mí, la seguridad nacional no se limita al ámbito militar; también abarca la resiliencia de nuestro sistema agrícola y alimentario. Proteger nuestras tierras, preservar la calidad del suelo y garantizar la continuidad de las producciones locales son herramientas esenciales para evitar una desestabilización económica y social. Hoy en día, mi sector aún no se reconoce como infraestructura crítica."
"defense_opinion_Q","Which statement best describes your opinion? (Please select only one option)","Quelle affirmation décrit le mieux votre opinion ? (Choisissez une seule option)","¿Cuál afirmación describe mejor su opinión? (Seleccione solo una opción)"
"defense_validation_A1","YES","OUI","SI"
"defense_validation_A2","NO","NON","NO"
"defense_validation_Q","In your opinion, should sustainable soil management be integrated into national security strategies?","À votre avis, la gestion durable des sols devrait-elle être intégrée aux stratégies de sécurité nationale ?","¿En su opinión, la gestión sostenible del suelo debería integrarse en las estrategias de seguridad nacional?"
"defense_validation_text","Explain why you believe sustainable soil management should (or should not) be integrated into national security strategies.","Expliquez pourquoi vous pensez que la gestion durable des sols devrait (ou non) être intégrée aux stratégies de sécurité nationale.","Explica por qué crees que la gestión sostenible del suelo debería (o no) integrarse en las estrategias de seguridad nacional."
"Demographics_header","SECTION: DEMOGRAPHIC DATA","SÉCTION DONNÉES DÉMOGRAPHIQUES","SECCIÓN: DATOS DEMOGRÁFICOS"
"disconnected_alert","You were disconnected. Try reloading the page.","Vous avez été déconnecté. Veuillez recharger la page.","Te desconectaste. Intenta recargar la página."
"E_approach_A1","Soil erosion is not considered in my farming practices.","L'érosion des sols n'est pas prise en compte dans ma pratique agricole.","La erosión del suelo no se tiene en cuenta en mis prácticas agrícolas."
"E_approach_A2","Practices that maintain soil cover are used whenever possible.","Des pratiques qui maintiennent la couverture du sol sont utilisées lorsque c'est possible.","Se aplican prácticas que mantienen la cobertura del suelo siempre que es posible."
"E_approach_A3","Practices that maintain soil cover are a priority.","Des pratiques qui maintiennent la couverture du sol sont une priorité.","Las prácticas que mantienen la cobertura del suelo son una prioridad."
"E_approach_A4","We combine information on the soil’s chemical and physical characteristics with topography to identify and manage areas prone to soil erosion.","Nous combinons les informations sur les caractéristiques chimiques et physiques du sol avec la topographie pour identifier et gérer les zones sujettes à l'érosion des sols.","Combinamos la información sobre las características químicas y físicas del suelo con la topografía para identificar y gestionar las zonas propensas a la erosión del suelo."
"E_approach_Q","Which statement best describes your practice or approach? (Select only one option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","¿Cuál enunciado describe mejor su práctica o enfoque? (Seleccione solo una opción)"
"E_header","SOIL EROSION","ÉROSION DU SOL","EROSIÓN DEL SUELO"
"E_K_A1","Practices that increase soil cover by more than 50% reduce the risk of soil erosion.","Les pratiques qui augmentent la couverture du sol de plus de 50 % réduisent le risque d'érosion des sols.","Las prácticas que aumentan la cobertura del suelo en más del 50 % reducen el riesgo de erosión del suelo."
"E_K_A2","Wind erosion (caused by wind action) can be reduced by planting windbreaks at a 90-degree angle to the prevailing wind.","L'érosion éolienne (action par le vent) peut être réduite en plantant des brise-vent à 90 degrés par rapport au vent dominant.","La erosión eólica (causada por la acción del viento) puede reducirse plantando cortavientos en un ángulo de 90 grados con respecto al viento dominante."
"E_K_A3","The severity of water erosion is influenced by landscape position and can occur below the surface.","La gravité de l'érosion hydrique est influencée par la position dans le paysage et peut se produire sous la surface.","La gravedad de la erosión hídrica está influenciada por la posición en el paisaje y puede producirse bajo la superficie."
"E_K_A4","A shear test is used to measure soil strength; soil with high shear strength is less susceptible to erosion.","Un test de cisaillement est utilisé pour mesurer la résistance du sol, un sol avec un cisaillement élevé est moins sujet à l'érosion.","Se utiliza una prueba de corte para medir la resistencia del suelo; un suelo con alta resistencia al corte es menos propenso a la erosión."
"E_K_A5","I am familiar with all of these concepts.","Je suis familier avec tous ces concepts.","Estoy familiarizado con todos estos conceptos."
"E_K_Q","Select all NEW concepts (Select all that apply)","Sélectionnez tous les concepts qui sont NOUVEAUX pour vous (Sélectionnez tout ce qui s’applique)","Seleccione todos los conceptos NUEVOS (Marque todas las opciones que correspondan)"
"E_opinion_A1","It is not necessary to consider farming practices when it comes to soil erosion.","Il n’est pas nécessaire de prendre en compte les pratiques agricoles pour la question de l’érosion des sols.","No es necesario tener en cuenta las prácticas agrícolas en relación con la erosión del suelo."
"E_opinion_A2","In my opinion, the cost and complexity of erosion control measures make them inaccessible.","À mon avis, le coût et la complexité des mesures de lutte contre l’érosion les rendent inaccessibles.","En mi opinión, el coste y la complejidad de las medidas contra la erosión las hacen inaccesibles."
"E_opinion_A3","My goal is to use sustainable production practices that minimise erosion.","Mon objectif est d'utiliser des pratiques de production durables qui minimisent l'érosion.","Mi objetivo es utilizar prácticas de producción sostenibles que minimicen la erosión."
"E_opinion_A4","The topsoil is our most valuable asset, and we must all work to minimise its loss.","La couche arable du sol est notre atout le plus précieux, et nous devons tous travailler à minimiser sa perte.","La capa superficial del suelo es nuestro recurso más valioso, y todos debemos trabajar para minimizar su pérdida."
"E_opinion_Q","Which statement best describes your opinion? (Please select only one option)","Quelle affirmation décrit le mieux votre opinion ? (Choisissez une seule option)","¿Cuál afirmación describe mejor su opinión? (Seleccione solo una opción)"
"econ_approach_A1","I use the soil primarily for cultivation; this is its only economic value to me.","J'utilise le sol principalement pour cultiver, c'est la seule valeur économique du sol.","Utilizo el suelo principalmente para cultivar; ese es su único valor económico para mí."
"econ_approach_A2","I maximise the profitability of my farmland and try to reclassify some plots as buildable land.","Je maximise la rentabilité de mes terres agricoles et j'essaye de classer certaine sparcelle comme terrains constructibles.","Maximizo la rentabilidad de mis tierras agrícolas e intento reclasificar algunas parcelas como terreno edificable."
"econ_approach_A3","I adopt farming practices so that my soil management has economic impact, and I strive to balance profitability and sustainability, especially by using more environmentally friendly techniques. But it’s not easy.","J'adopte des pratiques agricoles de manière à ce que la gestion de mes sols puisse avoir un impact économique, et je m'efforce de trouver un équilibre entre rentabilité et durabilité, notamment en utilisant des techniques agricoles plus respectueuses de l’environnement. Mais c'est compliqué.","Adopto prácticas agrícolas para que la gestión de mis suelos tenga un impacto económico e intento equilibrar la rentabilidad con la sostenibilidad, especialmente utilizando técnicas más respetuosas con el medio ambiente. Pero no es fácil."
"econ_approach_A4","I implement a comprehensive soil management strategy that combines monitoring, rotations, investment, and innovation to ensure long-term economic productivity. But it’s not easy.","Je mets en œuvre une stratégie complète de gestion des sols, combinant suivi de la qualité, rotations, investissements et innovations pour garantir leur productivité économique sur plusieurs années. Mais ce n'est pas facile.","Pongo en marcha una estrategia integral de gestión del suelo que combina el seguimiento de su calidad, rotaciones, inversiones e innovación para garantizar su productividad económica a largo plazo. Pero no es fácil."
"econ_approach_Q","Which statement best describes your practice or approach? (Select only one option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","¿Cuál enunciado describe mejor su práctica o enfoque? (Seleccione solo una opción)"
"econ_header","SECTION: ECONOMY","SECTION ÉCONOMIE","SECCIÓN: ECONOMÍA"
"econ_newconcepts_A1","In general, the economic value of soil is linked to its capacity to produce agricultural resources, its accessibility and geographic location, access to water, land zoning (PLU, PLUi, SCoT), real estate projects, and the state of land management (joint ownership, co-ownership, etc.).","En générale, la valeur économique du sol est liée à sa capacité à produire des ressources agricoles, à l’accessibilité et la localisation géographique, l’accès à l’eau, au zonage du sol (PLU, PLUi, SCoT), des projets immobiliers et l’état de la gestion foncière (indivision, copropriété etc).","En general, el valor económico del suelo está relacionado con su capacidad para producir recursos agrícolas, su accesibilidad y ubicación geográfica, el acceso al agua, la zonificación del suelo (PLU, PLUi, SCoT), los proyectos inmobiliarios y el estado de la gestión del terreno (indivisión, copropiedad, etc.)."
"econ_newconcepts_A2","In France and Europe, the assessment of agronomic and ecological soil degradation is still under development, and traditional agricultural insurance does not compensate for the gradual deterioration of soil quality or health.","En France et en Europe, l’évaluation des dommages liés à la dégradation agronomique et écologique des sols reste en cours d’élaboration, et les assurances agricoles classiques n’indemnisent pas la détérioration progressive de leur qualité et condition (santé).","En Francia y Europa, la evaluación de los daños relacionados con la degradación agronómica y ecológica del suelo aún está en desarrollo, y los seguros agrícolas tradicionales no indemnizan el deterioro progresivo de su calidad o salud."
"econ_newconcepts_A3","The economic value of soil could soon include its capacity to support healthy ecosystems and provide services such as natural fertilization, water infiltration, and greenhouse gas regulation. This would lead to a reduction in the financial risks associated with natural disasters.","La valeur économique du sol pourrait prochainement inclure sa capacité à soutenir des écosystèmes sains et à fournir des services comme la fertilisation naturelle, l’infiltration de l’eau, la régulation des gaz à effet de serre. Ce qui entrainerait une diminution des risques financiers liés aux catastrophes naturelles.","El valor económico del suelo podría incluir próximamente su capacidad para sostener ecosistemas sanos y proporcionar servicios como la fertilización natural, la infiltración del agua y la regulación de los gases de efecto invernadero. Esto conllevaría una disminución de los riesgos financieros asociados a las catástrofes naturales."
"econ_newconcepts_A4","Soil plays a key role in the economic stability of our society. Poor management can cause significant financial losses and negatively affect the economy of a region, a country, and even the world.","Le sol joue un rôle essentiel dans la stabilité économique de notre société. Une mauvaise gestion peut engendrer des pertes financières considérables et impacter négativement l’économie d’un territoire, d'un pays et avoir des impacts dans le monde.","El suelo desempeña un papel esencial en la estabilidad económica de nuestra sociedad. Una mala gestión puede provocar pérdidas financieras importantes y afectar negativamente la economía de una región, un país o incluso a nivel mundial."
"econ_newconcepts_A5","I am familiar with all of these concepts.","Je suis familier avec tous ces concepts.","Estoy familiarizado con todos estos conceptos."
"econ_newconcepts_Q","Select all NEW concepts (Select all that apply)","Sélectionnez tous les concepts qui sont NOUVEAUX pour vous (Sélectionnez tout ce qui s’applique)","Seleccione todos los conceptos NUEVOS (Marque todas las opciones que correspondan)"
"econ_opinion_A1","I consider the economic value of soil to be primarily linked to its capacity to produce crops, without paying much attention to its long-term economic potential.","Je considère que la valeur économique du sol est avant tout liée à sa capacité à produire des cultures, mais sans grande attention à son potentiel économique sur le long terme.","Considero que el valor económico del suelo está ante todo relacionado con su capacidad para producir cultivos, sin prestar mucha atención a su potencial económico a largo plazo."
"econ_opinion_A2","I believe the economic value of soil lies in its ability to generate short-term farm income while also considering its potential as buildable land.","J'estime que la valeur économique du sol repose sur sa capacité à générer des revenus agricoles à court terme, tout en tenant compte de son potentiel en tant que terrain constructible.","Estimo que el valor económico del suelo se basa en su capacidad para generar ingresos agrícolas a corto plazo, teniendo en cuenta también su potencial como terreno edificable."
"econ_opinion_A3","In my view, the economic value of soil is a combination of its immediate productivity and its capacity to maintain long-term profitability through responsible management practices.","Selon moi, la valeur économique du sol est une combinaison de sa productivité immédiate et de sa capacité à maintenir une rentabilité à long terme grâce à des pratiques de gestion responsable.","En mi opinión, el valor económico del suelo combina su productividad inmediata con su capacidad para mantener una rentabilidad a largo plazo mediante prácticas de gestión responsable."
"econ_opinion_A4","I consider the economic value of soil to be fundamental and believe it must be preserved through sustainable farming practices, as they shape both my profitability and the future of agriculture for the next generations.","Je considère que la valeur économique du sol est primordiale et doit être préservée à travers des pratiques agricoles durables, car elles conditionnent ma rentabilité et la pérennité des générations futures dans l’agriculture.","Considero que el valor económico del suelo es fundamental y debe preservarse mediante prácticas agrícolas sostenibles, ya que condiciona mi rentabilidad y la viabilidad de la agricultura para las generaciones futuras."
"econ_opinion_Q","Which statement best describes your opinion? (Please select only one option)","Quelle affirmation décrit le mieux votre opinion ? (Choisissez une seule option)","¿Cuál afirmación describe mejor su opinión? (Seleccione solo una opción)"
"education_level_A1","No formal education","Pas d'éducation formelle","Sin educación formal"
"education_level_A2","Completed middle school","Achèvement du collège","Finalización de la educación secundaria básica"
"education_level_A3","High school level","Niveau Lycée","Nivel de educación secundaria (bachillerato)"
"education_level_A4","Baccalaureate","Baccalauréat","Título de bachillerato"
"education_level_A5","Post-secondary vocational qualifications (2-year degree)","Bac+2","Titulaciones profesionales postsecundarias (título de 2 años)"
"education_level_A6","Bachelor’s degree","Bac+3","Título de grado/licenciatura"
"education_level_A7","Master’s degree","Master (Bac+4 et Bac+5)","Título de máster"
"education_level_A8","Doctorate (PhD)","Doctorat (Bac+8)","Doctorado (PhD)"
"education_level_Q","What is the highest level of education you have completed?","Quel est le plus haut niveau d'éducation que vous avez atteint","¿Cuál es el nivel más alto de educación que ha alcanzado?"
"farmEnterprises_A1","Cereal crops","Cultures de céréales","Cultivos de cereales"
"farmEnterprises_A2","Milk","Lait","Leche"
"farmEnterprises_A3","Extensive sheep or cattle farming","Élevage extensif de moutons ou de bovins","Cría extensiva de ovejas o bovinos"
"farmEnterprises_A4","Intensive sheep or cattle farming","Élevage intensif de moutons ou de bovins","Cría intensiva de ovejas o bovinos"
"farmEnterprises_A5","Outdoor pig or poultry farming","Porc ou volaille en plein air","Cría de cerdos o aves al aire libre"
"farmEnterprises_A6","Field horticultural crops","Cultures horticoles en champ","Cultivos hortícolas en campo abierto"
"farmEnterprises_A7","Vineyards","Vignes","Viñedos"
"farmEnterprises_A8","Orchard – fruits, nuts","Verger – fruits, noix","Huerto – frutas, nueces"
